Moeda,Data,Alta,Baixa,Abertura,Fechamento,Volume,Marketcap
Aave,2020-10-05,55.11,49.79,52.68,53.22,0.0,89128128.86
Aave,2020-10-06,53.4,40.73,53.29,42.4,583091.46,71011441.25
Aave,2020-10-07,42.41,35.97,42.4,40.08,682834.19,67130036.9
Aave,2020-10-08,44.9,36.7,39.89,43.76,1658816.92,220265142.11
Aave,2020-10-09,47.57,43.29,43.76,46.82,815537.66,235632208.16
Aave,2020-10-10,51.41,46.7,46.82,49.13,1074627.03,247288428.76
Aave,2020-10-11,51.45,48.72,49.13,49.66,692150.6,249940843.43
Aave,2020-10-12,54.42,48.75,49.66,52.24,1354836.06,262915666.29
Aave,2020-10-13,57.48,49.6,52.24,51.12,1386221.21,257307050.43
Aave,2020-10-14,57.85,49.63,51.37,51.32,3132405.42,258274392.51
Aave,2020-10-15,52.08,44.02,51.39,44.02,5883146.06,221547139.11
Aave,2020-10-16,43.91,39.14,42.89,39.5,52855204.94,365071463.28
Aave,2020-10-17,43.08,38.63,39.49,41.37,43339687.25,382367032.26
Aave,2020-10-18,41.75,39.53,41.39,40.75,40441163.46,376635994.14
Aave,2020-10-19,41.0,35.95,40.84,36.01,49289896.51,332872221.18
Aave,2020-10-20,36.32,32.1,36.04,32.18,60632325.59,297449169.45
Aave,2020-10-21,37.08,32.05,32.25,35.16,43831234.96,324997301.45
Aave,2020-10-22,39.86,33.59,35.1,38.03,54717366.38,402396251.49
Aave,2020-10-23,42.55,36.92,37.73,41.69,76081859.91,445257057.97
Aave,2020-10-24,42.44,38.73,41.69,39.46,57658170.29,421421064.28
Aave,2020-10-25,40.93,37.6,39.46,37.9,43970451.96,404862645.17
Aave,2020-10-26,39.16,35.07,37.9,36.03,50307222.85,384880121.63
Aave,2020-10-27,38.87,34.47,36.03,34.87,58581307.85,372464564.36
Aave,2020-10-28,35.56,32.0,34.87,32.39,60533866.83,346002819.35
Aave,2020-10-29,33.16,28.24,32.39,29.1,66304785.65,310800760.62
Aave,2020-10-30,31.98,27.79,29.1,31.22,77280723.59,350090548.37
Aave,2020-10-31,32.9,29.61,31.22,29.71,58631071.61,333516029.3
Aave,2020-11-01,31.07,28.49,29.71,30.66,49568339.16,345465544.0
Aave,2020-11-02,33.92,29.34,30.66,29.73,87180146.47,335349717.51
Aave,2020-11-03,30.06,27.54,29.73,28.04,56775011.6,316455541.6
Aave,2020-11-04,28.43,26.09,28.04,27.72,50464690.51,313021334.57
Aave,2020-11-05,32.3,25.97,27.72,30.96,85212411.64,350205472.93
Aave,2020-11-06,40.77,30.86,30.96,38.46,147304661.0,435876358.25
Aave,2020-11-07,51.43,38.46,38.46,44.6,200580053.61,507707213.2
Aave,2020-11-08,54.79,42.86,44.6,53.75,174706008.65,613014913.92
Aave,2020-11-09,58.36,49.86,53.75,54.89,386011347.75,626843328.12
Aave,2020-11-10,70.31,53.18,54.89,67.0,433793206.5,780700254.06
Aave,2020-11-11,68.78,53.72,67.0,54.7,354136841.35,638025534.61
Aave,2020-11-12,59.62,50.52,54.7,51.63,244505561.55,603421827.56
Aave,2020-11-13,66.12,51.18,51.63,63.4,318852071.24,743396746.18
Aave,2020-11-14,68.38,57.9,63.4,67.02,243698854.75,786814070.89
Aave,2020-11-15,71.17,60.09,67.02,64.24,258275517.1,754769242.98
Aave,2020-11-16,74.04,61.21,64.24,71.77,252527244.67,843863117.22
Aave,2020-11-17,79.56,68.96,73.25,78.44,310951195.49,923384720.05
Aave,2020-11-18,79.21,67.65,78.44,75.23,291394550.79,887327038.57
Aave,2020-11-19,80.73,70.5,75.23,75.86,275294182.28,895838057.79
Aave,2020-11-20,82.17,74.69,75.86,75.07,260578165.5,888309702.54
Aave,2020-11-21,76.89,67.8,75.07,70.42,237984829.2,833647262.71
Aave,2020-11-22,74.66,63.3,70.42,68.42,209068686.38,811198457.43
Aave,2020-11-23,73.77,65.74,68.42,71.84,220212896.12,852034424.51
Aave,2020-11-24,74.38,66.28,71.86,66.74,193004081.18,792032288.24
Aave,2020-11-25,67.45,59.56,66.72,61.81,154888752.22,733874939.3
Aave,2020-11-26,65.1,50.38,61.82,63.99,282502058.47,760506808.65
Aave,2020-11-27,68.67,56.65,64.01,60.74,201844805.76,722139363.78
Aave,2020-11-28,66.2,58.98,60.75,63.95,150605043.45,760508853.19
